authors,count,percent
"Dingmin Wang, Przemysław Andrzej Wałęga, Bernardo Cuenca Grau",1,0.19607843137254902
"Esra Erdem, Andreas Herzig",1,0.19607843137254902
"Ziyi Yang, George Pîrlea, Ilya Sergey",1,0.19607843137254902
"Lars Bengel, Matthias Thimm",1,0.19607843137254902
"David Carral, Lucas Larroque, Michaël Thomazo",1,0.19607843137254902
"SUSANA HAHN, TORSTEN SCHAUB, CEDRIC MARTENS, AMADE NEMES, HENRY OTUNUYA, JAVIER ROMERO, SEBASTIAN SCHELLHORN",1,0.19607843137254902
"Avijeet Ghosh, Sujata Ghosh, François Schwarzentruber",1,0.19607843137254902
"Patricia Everaere, Sébastien Konieczny, Ramón Pino Pérez",1,0.19607843137254902
"Frederico Aleixo, Matthias Knorr, João Leite",1,0.19607843137254902
"Lin Ren, Guohui Xiao, Guilin Qi, Yishuai Geng, Haohan Xue",1,0.19607843137254902
"Franz Baader, Renata Wassermann",1,0.19607843137254902
", Yushi Cao",1,0.19607843137254902
"Andrei Popescu, Johannes P. Wallner",1,0.19607843137254902
"Tommaso Flaminio, Sandro Preto, Sara Ugolini",1,0.19607843137254902
"Sanderson Molick, Vaishak Belle",1,0.19607843137254902
"Jakob Johannes Bauer, Thomas Eiter, Nelson Higuera Ruiz, Johannes Oetsch",1,0.19607843137254902
"Stéphane Demri, Raine Rönnholm",1,0.19607843137254902
Dan Moldovan,1,0.19607843137254902
"Shifeng Yan, Ying Li, Shuiguang Deng, Zhaohui Wu",1,0.19607843137254902
"David Hyland, Munyque Mittelmann, Aniello Murano, Giuseppe Perelli, Michael Wooldridge",1,0.19607843137254902
"Timon Barlag, Miika Hannula, Juha Kontinen, Nina Pardal, Jonni Virtema",1,0.19607843137254902
"Gerhard Wetzel, Francesca Toni",1,0.19607843137254902
"Christian Alrabbaa, Stefan Borgwardt, Tom Friese, Anke Hirsch, Nina Knieriemen, Patrick Koopmann, Alisa Kovtunova, Antonio Krüger, Alexej Popovič, Ida Siahaan",1,0.19607843137254902
"Shqiponja Ahmetaj, Timo Camillo Merkl, Reinhard Pichler",1,0.19607843137254902
"Flavio Bertini, Alessandro Dal Palù, Federica Zaglio, Francesco Fabiano, Andrea Formisano",1,0.19607843137254902
"N. Mansurov, D. Zhukov",1,0.19607843137254902
Matthias Gondan,1,0.19607843137254902
"Amad Atiq, George Ubakanma, Muddesar Iqbal",1,0.19607843137254902
"Meghyn Bienvenu, Camille Bourgaux, Daniil Kozhemiachenko",1,0.19607843137254902
", Naif Alatrush, Sultan Alsarra, , Afraa Alshammari, , Luay Abdeljaber, , Niamat Zawad, , Latifur Khan, , Patrick T. Brandt, , Javier Osorio, , Vito J. D’Orazio, ",1,0.19607843137254902
"Cem Okulmus, Mantas Šimkus",1,0.19607843137254902
"Viviana Mascardi, Domenico Pellegrini",1,0.19607843137254902
Mario Alviano,1,0.19607843137254902
Mohammed M. S. El-Kholany,1,0.19607843137254902
"PARTH PADALKAR, NATALIA ŚLUSARZ, EKATERINA KOMENDANTSKAYA, GOPAL GUPTA",1,0.19607843137254902
"Poom Pianpak, Tran Cao Son",1,0.19607843137254902
David S. Warren,1,0.19607843137254902
"Denise Angilica, Mario Avolio, Giovanni Beraldi, Giovambattista Ianni, Francesco Pacenza",1,0.19607843137254902
"Dyuman Aditya, Colton Payne, Mario Leiva, Paulo Shakarian",1,0.19607843137254902
"Murali Mohanan, Imran Sarwar Bajwa",1,0.19607843137254902
"Alberto Pozanco, Marianela Morales, Daniel Borrajo, Manuela Veloso",1,0.19607843137254902
"Masood Feyzbakhsh Rankooh, Andreas Niskanen, Matti Järvisalo",1,0.19607843137254902
"Sudhir Agarwal, Anu Sreepathy, David H. Alonso, Prarit Lamba",1,0.19607843137254902
"Vinod Mishra, Julian Briseno, Mani Srivastava",1,0.19607843137254902
"Falco Nogatz, Philipp Körner, Sebastian Krings",1,0.19607843137254902
"Trang Tran, Trung Hoang Le, Huiping Cao, Tran Cao Son",1,0.19607843137254902
Justyna Petke,1,0.19607843137254902
"Christian Sturm, Stefan Schönig, Stefan Jablonski",1,0.19607843137254902
"Lucía Gómez Álvarez, Sebastian Rudolph",1,0.19607843137254902
Tom Donohoe,1,0.19607843137254902
"Bin Wang, Jun Shen, Shutao Zhang, Zhizheng Zhang",1,0.19607843137254902
"Christian Hatschka, Agata Ciabattoni, Thomas Eiter",1,0.19607843137254902
"Yi Zeng, Spyros Kotoulas, Zhisheng Huang",1,0.19607843137254902
"Bartosz Bednarczyk, Emanuel Kieroński",1,0.19607843137254902
"Meghyn Bienvenu, Camille Bourgaux, Robin Jean",1,0.19607843137254902
Jesús Castillo,1,0.19607843137254902
"Jean-Marie Lagniez, Emmanuel Lonca",1,0.19607843137254902
Serdar Kadioglu,1,0.19607843137254902
"Gładyś Sylwester, Malarski Marek, Jasiński Sławomir, Skorupski Jacek",1,0.19607843137254902
"Piotr Ostropolski-Nalewaja, Sebastian Rudolph",1,0.19607843137254902
"Shaked Almog, Meir Kalech",1,0.19607843137254902
"Son Tran, Edjard Mota, Artur d'Avila Garcez",1,0.19607843137254902
"Matti Berthold, Anna Rapberger, Markus Ulbricht",1,0.19607843137254902
"Marco Alberti, Riccardo Zese, Fabrizio Riguzzi, Evelina Lamma",1,0.19607843137254902
Darren Bradley,1,0.19607843137254902
"Stéphane Demri, Raul Fervari",1,0.19607843137254902
"Galileo Sartor, Adam Wyner, Giuseppe Contissa",1,0.19607843137254902
Hongnan Ye,1,0.19607843137254902
"Akihiro Takemura, Katsumi Inoue",1,0.19607843137254902
"Marcelo Arenas, Pablo Barceló, Diego Bustamante, Jose Caraball, Bernardo Subercaseaux",1,0.19607843137254902
"Rolf Haenni, Jan-Willem Romeijn, Gregory Wheeler, Jon Williamson",1,0.19607843137254902
Jaakko Hintikka,1,0.19607843137254902
"Sascha Rechenberger, Thom Frühwirth",1,0.19607843137254902
"Alessandro Dal Palù, Agostino Dovier, Andrea Formisano",1,0.19607843137254902
"Ofer Arieli, Kees van Berkel, Badran Raddaoui, Christian Strasser",1,0.19607843137254902
Alexander Bochman,1,0.19607843137254902
"Zhiliang Xiang, Meghyn Bienvenu, Gianluca Cima, Víctor Gutiérrez Basulto, Yazmín Ibáñez García",1,0.19607843137254902
"Ondřej Čepek, Jelena Glišić",1,0.19607843137254902
"Piero Andrea Bonatti, Francesco Magliocca, Luigi Sauro",1,0.19607843137254902
"Blai Bonet, Hector Geffner",1,0.19607843137254902
Rémy Haemmerlé,1,0.19607843137254902
"Kai Sauerwald, Matthias Thimm",1,0.19607843137254902
"Tuomo Lehtonen, Daphne Odekerken, Johannes P. Wallner, Matti Järvisalo",1,0.19607843137254902
"Federica Di Stefano, Quentin Manière, Magdalena Ortiz, Mantas Šimkus",1,0.19607843137254902
"Yanhong A. Liu, Scott D. Stoller, Yi Tong, K. Tuncay Tekle",1,0.19607843137254902
"Enrico Saccon, Ahmet Tikna, Davide De Martini, Edoardo Lamon, Luigi Palopoli, Marco Roveri",1,0.19607843137254902
"Meghyn Bienvenu, Katsumi Inoue, Daniil Kozhemiachenko",1,0.19607843137254902
"Lukas Gerlach, Lucas Larroque, Jerzy Marcinkowski, Piotr Ostropolski-Nalewaja",1,0.19607843137254902
"Zach Hansen, Hanxiang Du, Wanli Xing, Rory Eckel, Justin Lugo, Yuanlin Zhang",1,0.19607843137254902
"Federica Di Stefano, Sanja Lukumbuzya, Magdalena Ortiz, Mantas Šimkus",1,0.19607843137254902
"Paul Höft, David Speck, Jendrik Seipp",1,0.19607843137254902
Yong Shi,1,0.19607843137254902
"Matteo Cardellini, Enrico Giunchiglia",1,0.19607843137254902
"Andreas Niskanen, Masood Feyzbakhsh Rankooh, Tuomo Lehtonen, Matti Järvisalo",1,0.19607843137254902
"Peter Baumgartner, Elena Tartaglia",1,0.19607843137254902
Krinke Andreas,1,0.19607843137254902
"Luís Cruz-Filipe, Jonas Vistrup",1,0.19607843137254902
"Nijesh Upreti, Vaishak Belle",1,0.19607843137254902
"ISABEL GARCIA-CONTRERAS, JOSÉ F. MORALES, MANUEL V. HERMENEGILDO",1,0.19607843137254902
"Jens Otten, Torsten Schaub",1,0.19607843137254902
Guido Governatori,1,0.19607843137254902
"Pierre Carbonnelle, Matthias Van der Hallen, Marc Denecker",1,0.19607843137254902
"Gi Hyun Lim, Il Hong Suh",1,0.19607843137254902
Müge Fidan,1,0.19607843137254902
"Bart Bogaerts, Maxime Jakubowski",1,0.19607843137254902
"Ivan Perez, Angel Herranz",1,0.19607843137254902
"Van-Giang Trinh, Belaid Benhamou, Sylvain Soliman, François Fages",1,0.19607843137254902
"Valeria Fionda, Antonio Ielo, Francesco Ricca",1,0.19607843137254902
"Marcello Balduccini, Michael Gelfond, Enrico Pontelli, Tran Cao Son",1,0.19607843137254902
"Van-Giang Trinh, Sylvain Soliman, François Fages, Belaid Benhamou",1,0.19607843137254902
"Yamil O. Soto, Andrea Cohen, Cristhian Ariel D. Deagustini, Maria Vanina Martinez, Gerardo I. Simari",1,0.19607843137254902
Giuseppe Mazzotta,1,0.19607843137254902
"Olcay Altay-Kern, Emmanuelle Dietz, Isabelle Kuhlmann, Matthias Thimm",1,0.19607843137254902
Christopher John Hogger,1,0.19607843137254902
Bernhard Nebel,1,0.19607843137254902
"David Fernández-Duque, Brett McLean, Lukas Zenger",1,0.19607843137254902
"Neng-Fa Zhou, Cristian Grozea, Håkan Kjellerstrand, Oisín Mac Fhearaí",1,0.19607843137254902
"Mohammad Yousefi, Johannes Schmalz, Patrik Haslum, Pascal Bercher",1,0.19607843137254902
"Jason Hemann, Daniel P. Friedman, William E. Byrd, Matthew Might",1,0.19607843137254902
"Douglas Walton, Thomas F. Gordon",1,0.19607843137254902
Vaishak Belle,1,0.19607843137254902
"Jin Wang, Jiacheng Wu, Mingda Li, Jiaqi Gu, Ariyam Das, Carlo Zaniolo",1,0.19607843137254902
Marco Mochi,1,0.19607843137254902
"Andre Thevapalan, Gabriele Kern-Isberner",1,0.19607843137254902
Daniela Inclezan,1,0.19607843137254902
"Jens Lehmann, Sebastian Bader, Pascal Hitzler",1,0.19607843137254902
"Antonio Rago, Hengzhi Li, Francesca Toni",1,0.19607843137254902
"Benjamin Aminof, Linus Cooper, Sasha Rubin, Moshe Y. Vardi, Florian Zuleger",1,0.19607843137254902
"Alex Ivliev, Lukas Gerlach, Simon Meusel, Jakob Steinberg, Markus Krötzsch",1,0.19607843137254902
"Fengming Zhu, Fangzhen Lin",1,0.19607843137254902
"Keegan Kimbrell, Wang Tianhao, Feng Chen, Gopal Gupta",1,0.19607843137254902
"Markus Hecher, Michael Morak, Stefan Woltran",1,0.19607843137254902
