title,count,percent
Can LLMs Solve ASP Problems? Insights from a Benchmarking Study.,1,0.19607843137254902
Contractions Based on Optimal Repairs.,1,0.19607843137254902
Deep Inductive Logic Programming meets Reinforcement Learning.,1,0.19607843137254902
A Neurosymbolic Approach to Fraud Detection on Financial Data in the Public Administration.,1,0.19607843137254902
Value awareness and process automation: a reflection through school place allocation models.,1,0.19607843137254902
Advancing Algorithmic Approaches to Probabilistic Argumentation under the Constellation Approach.,1,0.19607843137254902
Reasoning about Probability via Continuous Functions.,1,0.19607843137254902
Propositional Abduction via Only-Knowing: A Non-Monotonic Approach.,1,0.19607843137254902
Visual Graph Question Answering with ASP and LLMs for Language Parsing.,1,0.19607843137254902
How to Manage a Budget with ATL+.,1,0.19607843137254902
Automating Disease Management Using Answer Set Programming.,1,0.19607843137254902
Natural Language Generation From Ontologies Using Grammatical Framework.,1,0.19607843137254902
Explanations Generation For Web Service Workflow.,1,0.19607843137254902
Incentive Design for Rational Agents.,1,0.19607843137254902
Semantics for Hybrid Probabilistic Logic Programs with Function Symbols: Technical Summary.,1,0.19607843137254902
neXSim: A System for Explaining Nexus of Similarities.,1,0.19607843137254902
Unified Foundations of Team Semantics via Semirings.,1,0.19607843137254902
A Query Evaluation Method for ASP with Abduction.,1,0.19607843137254902
Modelling Cyber Defenses using s(CASP).,1,0.19607843137254902
Explaining Reasoning Results for OWL Ontologies with Evee.,1,0.19607843137254902
Consistent Query Answering over SHACL Constraints.,1,0.19607843137254902
Data2Concept2Text: An Explainable Multilingual Framework for Data Analysis Narration.,1,0.19607843137254902
Argument analysis using Answer Set Programming and Semantics-guided Large Language Models.,1,0.19607843137254902
Answer Set Solving with Generalized Learned Constraints.,1,0.19607843137254902
Visualizing Kripke Models in LogiKEy: the Case of SDL.,1,0.19607843137254902
s(CASP) for SWI-Prolog.,1,0.19607843137254902
A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,1,0.19607843137254902
Fixpoint Semantics for DatalogMTL with Negation.,1,0.19607843137254902
When is a Program an Actual Cause?,1,0.19607843137254902
Resource Allocation with Cooperative Agents.,1,0.19607843137254902
A Causal Perspective on AI Deception in Games.,1,0.19607843137254902
Queries With Exact Truth Values in Paraconsistent Description Logics.,1,0.19607843137254902
"Proceedings 40th International Conference on Logic Programming, ICLP 2024, University of Texas at Dallas, Dallas Texas, USA, October 14-17 2024.",1,0.19607843137254902
SHACL Validation under the Well-founded Semantics.,1,0.19607843137254902
Logical Judges Challenge Human Judges on the Strange Case of B.C.-Valjean.,1,0.19607843137254902
The Pyglaf Argumentation Reasoner.,1,0.19607843137254902
Decomposition Strategies for Solving Scheduling Problems in Industrial Applications.,1,0.19607843137254902
Explanations for Answer Set Programming.,1,0.19607843137254902
A Neurosymbolic Framework for Bias Correction in Convolutional Neural Networks.,1,0.19607843137254902
DMAPF: A Decentralized and Distributed Solver for Multi-Agent Path Finding Problem with Obstacles.,1,0.19607843137254902
A Prolog Program for Bottom-up Evaluation.,1,0.19607843137254902
Computing Diverse Optimal Stable Models.,1,0.19607843137254902
From Vision to Execution: Enabling Knowledge Representation and Reasoning in Hybrid Intelligent Robots Playing Mobile Games.,1,0.19607843137254902
Machine Learning Model Integration with Open World Temporal Logic for Process Automation.,1,0.19607843137254902
First Order Logic and Commonsense Reasoning: A Path Less Travelled.,1,0.19607843137254902
Representing and Evaluating SBVR Specification via ASP.,1,0.19607843137254902
A Planning Compilation to Reason About Goal Achievement at Planning Time.,1,0.19607843137254902
Cost-Optimal Delete-Free Classical Planning via Maximum Satisfiability.,1,0.19607843137254902
Verification of General Games with Imperfect Information Using Strategy Logic.,1,0.19607843137254902
